

*SVYNAM SECTION001
*DATEUR 22/07/2021
*SVYCOM  ;Explo 1 : 22/07/2021 Guy L / Brigitte A / Eric R / Laurent S / Alex;D:\01 Synology Drive [Blade 15
*SVYTEA                                         
*UNITS INCLINATION D
*UNITS COMPASS D
*UNITS LENGTH M
*DIVING N
*DimInStation T
*DECLIN TO ADD 2.24
; FROM TO LENGTH BEARING INC LEFT UP DOWN RIGHT FLAGS COMMENTS
00	00	0.00	0.00  	0.00  	1.03	0.93	0.98	0.96	;Point 00 Entrée vertical falaise;D:\01 Synology Drive [Blade 15]\00 A Classer sur [Cloud]\Grotte En sait tout (39)\P1020159.JPG
HH2	*	0.28	262.40	-72.90	*	*	*	*	
H8	*	0.82	50.60 	14.40 	*	*	*	*	
H8	*	0.40	165.30	12.00 	*	*	*	*	
H8	*	0.62	192.00	83.80 	*	*	*	*	
H8	*	0.21	59.90 	-82.60	*	*	*	*	
H8	H9	1.85	133.50	3.70  	0.48	0.61	3.98	0.25	
H9	*	1.91	133.60	3.90  	*	*	*	*	
H9	*	1.83	133.40	3.60  	*	*	*	*	
H9	*	0.52	89.30 	14.50 	*	*	*	*	
H9	*	1.02	304.30	3.50  	*	*	*	*	
H9	*	4.18	230.50	72.00 	*	*	*	*	
H9	*	0.25	159.30	-81.60	*	*	*	*	
H9	H10	3.27	188.80	36.70 	0.23	0.22	1.20	0.38	
H10	*	0.25	88.60 	15.50 	*	*	*	*	
H10	*	0.24	306.10	-3.70 	*	*	*	*	
H10	*	1.23	295.70	77.40 	*	*	*	*	
H10	*	0.39	152.40	-79.40	*	*	*	*	
H10	H11	5.80	197.10	24.20 	0.15	0.22	1.98	0.28	;arret sur diaclase;
H11	*	0.22	68.90 	28.60 	*	*	*	*	
H11	*	0.23	275.20	-8.70 	*	*	*	*	
H11	*	2.26	230.10	61.10 	*	*	*	*	
H11	*	0.29	169.00	-77.20	*	*	*	*	
H6	*	0.67	271.50	7.50  	*	*	*	*	
H6	*	0.77	99.30 	-0.20 	*	*	*	*	
H6	*	1.81	333.60	81.20 	*	*	*	*	
H6	*	0.54	329.20	-83.50	*	*	*	*	
H6	I1	3.78	2.00  	1.80  	0.46	0.60	0.93	0.20	;Vers suite;
I1	*	0.52	257.50	11.40 	*	*	*	*	
I1	*	0.63	63.20 	15.10 	*	*	*	*	
I1	*	0.96	261.30	74.70 	*	*	*	*	
I1	*	0.21	121.30	-68.70	*	*	*	*	
I1	I2	0.62	282.60	35.80 	0.18	0.64	0.56	0.44	
I2	*	0.19	215.60	6.50  	*	*	*	*	
I2	*	0.72	352.40	-4.80 	*	*	*	*	
I2	*	0.60	309.10	67.80 	*	*	*	*	
I2	*	0.47	310.70	-70.60	*	*	*	*	
I2	I3	2.41	296.40	-0.90 	0.37	0.24	0.53	0.14	
I3	*	0.38	209.60	11.20 	*	*	*	*	
I3	*	0.26	37.20 	17.50 	*	*	*	*	
I3	*	0.53	310.80	84.00 	*	*	*	*	
I3	*	0.20	269.80	-46.10	*	*	*	*	
I3	I4	2.50	289.60	-7.70 	0.51	0.22	0.45	0.19	
I4	*	0.52	239.40	12.60 	*	*	*	*	
I4	*	0.23	40.00 	7.30  	*	*	*	*	
I4	*	0.46	291.00	78.70 	*	*	*	*	
I4	*	0.19	58.20 	-78.70	*	*	*	*	
I4	I5	1.74	7.10  	-2.10 	0.41	0.48	0.24	0.20	
I5	*	0.46	283.60	24.40 	*	*	*	*	
I5	*	0.50	104.30	15.20 	*	*	*	*	
I5	*	0.24	122.40	84.10 	*	*	*	*	
I5	*	0.20	126.10	-86.70	*	*	*	*	
I5	I6	2.42	40.00 	0.50  	0.53	0.25	0.28	0.23	
I6	*	0.54	274.70	6.50  	*	*	*	*	
